JOHN MAHAMA,,NDC,26493,2012,ASUNAFO NORTH,P
HENRY LARTEY,,GCPP,222,2012,ASUNAFO NORTH,P
NANA AKUFO-ADDO,,NPP,29471,2012,ASUNAFO NORTH,P
PAA KWESI NDUOM,,PPP,129,2012,ASUNAFO NORTH,P
AKWASI ADAE,,UFP,67,2012,ASUNAFO NORTH,P
HASSAN AYARIGA,,PNC,44,2012,ASUNAFO NORTH,P
ABU SAKARA,,CPP,97,2012,ASUNAFO NORTH,P
JACOB OSEI YEBOAH,,IND,39,2012,ASUNAFO NORTH,P
ROBERTO SARFO MENSAH,,NPP,28404,2012,ASUNAFO NORTH,M
MOHAMMED KWAKU DOKU,,NDC,26820,2012,ASUNAFO NORTH,M
BETRICE GLADYS BOFFA,,CPP,780,2012,ASUNAFO NORTH,M
ANNA YEBOA,,IND,616,2012,ASUNAFO NORTH,M
SAMUEL OWUSU BEKOE,,UFP,250,2012,ASUNAFO NORTH,M
SETH GEORGE MENSAH,,PPP,201,2012,ASUNAFO NORTH,M
JOHN MAHAMA,,NDC,21075,2012,ASUNAFO SOUTH,P
HENRY LARTEY,,GCPP,150,2012,ASUNAFO SOUTH,P
NANA AKUFO-ADDO,,NPP,19052,2012,ASUNAFO SOUTH,P
PAA KWESI NDUOM,,PPP,79,2012,ASUNAFO SOUTH,P
AKWASI ADAE,,UFP,13,2012,ASUNAFO SOUTH,P
HASSAN AYARIGA,,PNC,30,2012,ASUNAFO SOUTH,P
ABU SAKARA,,CPP,30,2012,ASUNAFO SOUTH,P
JACOB OSEI YEBOAH,,IND,20,2012,ASUNAFO SOUTH,P
ERIC OPOKU,,NDC,21770,2012,ASUNAFO SOUTH,M
GEORGE BOAKYE,,NPP,18995,2012,ASUNAFO SOUTH,M
MOHAMMED BAOKYE -BOADU,,PPP,214,2012,ASUNAFO SOUTH,M
ACHEAMPONG K K JOSEPH,,NDP,64,2012,ASUNAFO SOUTH,M
ANNA YEBOAH,,IND,0,2012,ASUNAFO SOUTH,M
JOHN MAHAMA,,NDC,13606,2012,ASUTIFI NORTH,P
HENRY LARTEY,,GCPP,68,2012,ASUTIFI NORTH,P
NANA AKUFO-ADDO,,NPP,15339,2012,ASUTIFI NORTH,P
PAA KWESI NDUOM,,PPP,106,2012,ASUTIFI NORTH,P
AKWASI ADAE,,UFP,11,2012,ASUTIFI NORTH,P
HASSAN AYARIGA,,PNC,23,2012,ASUTIFI NORTH,P
ABU SAKARA,,CPP,22,2012,ASUTIFI NORTH,P
JACOB OSEI YEBOAH,,IND,12,2012,ASUTIFI NORTH,P
BENHAZIN JOSEPH DAHAH,,NPP,15112,2012,ASUTIFI NORTH,M
