ERNEST KOFI YAKAH,NDC,,2016,NEW EDUBIASE,M,
GEORGE ODURO,NPP,,2016,NEW EDUBIASE,M,
SOLOMON BOADU ,CPP,,2016,NEW EDUBIASE,M,
IVOR KWABINA GREENSTREET,CPP,,2016,NEW EDUBIASE,P,
NANA KONADU AGYEMANG-RAWLINGS,NDP,,2016,NEW EDUBIASE,P,
JOHN DRAMANI MAHAMA,NDC,,2016,NEW EDUBIASE,P,
PAPA KWASI NDOUM,PPP,,2016,NEW EDUBIASE,P,
NANA ADDO DANKWA AKUFFO-ADDO,NPP,,2016,NEW EDUBIASE,P,
EDWARD NASIGRI MAHAMA,PNC,,2016,NEW EDUBIASE,P,
JOSEPH OSEI YEBOAH,IND,,2016,NEW EDUBIASE,P,
SAMUEL OPPONG,NDC,,2016,Akrofuom,M,
KWABENA APPIAH PINKRAH,NPP,,2016,Akrofuom,M,
PROSPER M. M. ZUMA,NDP,,2016,Akrofuom,M,
IVOR KWABINA GREENSTREET,CPP,,2016,Akrofuom,P,
NANA KONADU AGYEMANG-RAWLINGS,NDP,,2016,Akrofuom,P,
JOHN DRAMANI MAHAMA,NDC,,2016,Akrofuom,P,
PAPA KWASI NDOUM,PPP,,2016,Akrofuom,P,
NANA ADDO DANKWA AKUFFO-ADDO,NPP,,2016,Akrofuom,P,
EDWARD NASIGRI MAHAMA,PNC,,2016,Akrofuom,P,
JOSEPH OSEI YEBOAH,IND,,2016,Akrofuom,P,
DAWUD SULEIMAN,PPP,,2016,FOMENA,M,
WILLIAM ADJEI-MENSAH,NDC,,2016,FOMENA,M,
ANDREW AMOAKO ASIAMAH,NPP,,2016,FOMENA,M,
KWADWO OSEI,CPP,,2016,FOMENA,M,
IVOR KWABINA GREENSTREET,CPP,,2016,FOMENA,P,
NANA KONADU AGYEMANG-RAWLINGS,NDP,,2016,FOMENA,P,
JOHN DRAMANI MAHAMA,NDC,,2016,FOMENA,P,
PAPA KWASI NDOUM,PPP,,2016,FOMENA,P,
NANA ADDO DANKWA AKUFFO-ADDO,NPP,,2016,FOMENA,P,
EDWARD NASIGRI MAHAMA,PNC,,2016,FOMENA,P,
JOSEPH OSEI YEBOAH,IND,,2016,FOMENA,P,
AMANKWAH EVANS,NDC,,2016,Adansi-Asokwa,M,
KOBINA TAHIR HAMMOND,NPP,,2016,Adansi-Asokwa,M,
ALEXANDER ODOI LARBI,PNC,,2016,Adansi-Asokwa,M,
ODURO RICHARD ANOKYE,IND,,2016,Adansi-Asokwa,M,
IVOR KWABINA GREENSTREET,CPP,,2016,Adansi-Asokwa,P,
NANA KONADU AGYEMANG-RAWLINGS,NDP,,2016,Adansi-Asokwa,P,
JOHN DRAMANI MAHAMA,NDC,,2016,Adansi-Asokwa,P,
PAPA KWASI NDOUM,PPP,,2016,Adansi-Asokwa,P,
NANA ADDO DANKWA AKUFFO-ADDO,NPP,,2016,Adansi-Asokwa,P,
EDWARD NASIGRI MAHAMA,PNC,,2016,Adansi-Asokwa,P,
