AKWASI ADAE,UFP,12,2012,ADENTA,P
HASSAN AYARIGA,PNC,11,2012,ADENTA,P
ABU SAKARA,CPP,84,2012,ADENTA,P
JACOB OSEI YEBOAH,IND,27,2012,ADENTA,P
EMMANUEL NII ASHIE MOORE,NDC,35409,2012,ADENTA,M
ASIAM EWURABENA FRANCES,NPP,30805,2012,ADENTA,M
MOHAMMED NNABAALE IDDRISU,IND,438,2012,ADENTA,M
DENNIS OWUSU-APPIAH OFOSUAPEA,PPP,395,2012,ADENTA,M
MAMSHIE OMAR BAWA,CPP,183,2012,ADENTA,M
HUMMI SINARE,PNC,108,2012,ADENTA,M
EASTWOOD RICHARD KORANTENG,NDP,101,2012,ADENTA,M
JOHN MAHAMA,NDC,34899,2012,AMASAMAN,P
HENRY LARTEY,GCPP,87,2012,AMASAMAN,P
NANA AKUFO-ADDO,NPP,22200,2012,AMASAMAN,P
PAA KWESI NDUOM,PPP,206,2012,AMASAMAN,P
AKWASI ADAE,UFP,35,2012,AMASAMAN,P
HASSAN AYARIGA,PNC,14,2012,AMASAMAN,P
ABU SAKARA,CPP,54,2012,AMASAMAN,P
JACOB OSEI YEBOAH,IND,28,2012,AMASAMAN,P
EMMANUEL NII OKAI LARYEA,NDC,29724,2012,AMASAMAN,M
CLEMENT NII LAMPTEY WIKINSON,NPP,21761,2012,AMASAMAN,M
LEWIS KWAME SASU,IND,2684,2012,AMASAMAN,M
WILLIAM KWSI AHAMAZIE,IND,482,2012,AMASAMAN,M
THELMA LAMPTEY,PPP,206,2012,AMASAMAN,M
DESMOND TWUMASI NTOW,PNC,57,2012,AMASAMAN,M
AMOS ABUTU ATINDABIRE,CPP,54,2012,AMASAMAN,M
AKWASI AMOATENG ASAMOAH,NDP,14,2012,AMASAMAN,M
JOHN MAHAMA,NDC,29312,2012,ANYAA/SOWUTUOM,P
HENRY LARTEY,GCPP,59,2012,ANYAA/SOWUTUOM,P
NANA AKUFO-ADDO,NPP,51854,2012,ANYAA/SOWUTUOM,P
PAA KWESI NDUOM,PPP,344,2012,ANYAA/SOWUTUOM,P
AKWASI ADAE,UFP,16,2012,ANYAA/SOWUTUOM,P
HASSAN AYARIGA,PNC,13,2012,ANYAA/SOWUTUOM,P
ABU SAKARA,CPP,67,2012,ANYAA/SOWUTUOM,P
JACOB OSEI YEBOAH,IND,10,2012,ANYAA/SOWUTUOM,P
SHIRLEY AYORKOR BOTCHWAY,NPP,51198,2012,ANYAA/SOWUTUOM,M
SEDINA CHRISTINE TAMAKLOE ATTIONU,NDC,29536,2012,ANYAA/SOWUTUOM,M
RUTH QUAYE,PPP,568,2012,ANYAA/SOWUTUOM,M
ERNEST APPAH AFRAM,CPP,430,2012,ANYAA/SOWUTUOM,M
EMMANUEL ASHALLEY,NDP,218,2012,ANYAA/SOWUTUOM,M
JOHN MAHAMA,NDC,60178,2012,ASHIAMAN,P
HENRY LARTEY,GCPP,90,2012,ASHIAMAN,P
NANA AKUFO-ADDO,NPP,33725,2012,ASHIAMAN,P
PAA KWESI NDUOM,PPP,266,2012,ASHIAMAN,P
AKWASI ADAE,UFP,17,2012,ASHIAMAN,P
HASSAN AYARIGA,PNC,55,2012,ASHIAMAN,P
ABU SAKARA,CPP,57,2012,ASHIAMAN,P
JACOB OSEI YEBOAH,IND,32,2012,ASHIAMAN,P
ALFRED KWAME AGBESI,NDC,47154,2012,ASHIAMAN,M
SEJI SAJI AMEDONU,NPP,32650,2012,ASHIAMAN,M
AFENYO TONY,IND,13864,2012,ASHIAMAN,M
CLEMENCE AMEEVOR,PPP,402,2012,ASHIAMAN,M
HAMIDA BIDOLTI BANDA,CPP,184,2012,ASHIAMAN,M
IDDI AMINU,PNC,171,2012,ASHIAMAN,M
MARK AYAABA FAISAL,URP ,83,2012,ASHIAMAN,M
JOHN MAHAMA,NDC,33206,2012,AYAWASO CENTRAL,P
HENRY LARTEY,GCPP,48,2012,AYAWASO CENTRAL,P
NANA AKUFO-ADDO,NPP,33424,2012,AYAWASO CENTRAL,P
PAA KWESI NDUOM,PPP,226,2012,AYAWASO CENTRAL,P
AKWASI ADAE,UFP,8,2012,AYAWASO CENTRAL,P
HASSAN AYARIGA,PNC,22,2012,AYAWASO CENTRAL,P
ABU SAKARA,CPP,47,2012,AYAWASO CENTRAL,P
JACOB OSEI YEBOAH,IND,14,2012,AYAWASO CENTRAL,P
HENRY QUARTEY,NPP,33074,2012,AYAWASO CENTRAL,M
WILLIAM AFFUM ANI-ADJEI,NDC,32439,2012,AYAWASO CENTRAL,M
REBECCA AGBOGAH,PPP,1123,2012,AYAWASO CENTRAL,M
BENJAMIN BEDIAKO,PNC,119,2012,AYAWASO CENTRAL,M
HILDEGARD FERGUSON-KRAKUE,CPP,104,2012,AYAWASO CENTRAL,M
JOHN MAHAMA,NDC,23666,2012,BORTIANOR/NGLESHIE/AMANFROM,P
HENRY LARTEY,GCPP,55,2012,BORTIANOR/NGLESHIE/AMANFROM,P
NANA AKUFO-ADDO,NPP,22732,2012,BORTIANOR/NGLESHIE/AMANFROM,P
PAA KWESI NDUOM,PPP,228,2012,BORTIANOR/NGLESHIE/AMANFROM,P
AKWASI ADAE,UFP,9,2012,BORTIANOR/NGLESHIE/AMANFROM,P
HASSAN AYARIGA,PNC,25,2012,BORTIANOR/NGLESHIE/AMANFROM,P
ABU SAKARA,CPP,34,2012,BORTIANOR/NGLESHIE/AMANFROM,P
JACOB OSEI YEBOAH,IND,15,2012,BORTIANOR/NGLESHIE/AMANFROM,P
BRIGHT EDWARD KODZO DEMORDZI,NDC,23014,2012,BORTIANOR/NGLESHIE/AMANFROM,M
ADJETEY LARBI,NPP,22826,2012,BORTIANOR/NGLESHIE/AMANFROM,M
EVANS NII DJABUM MENSAH,DPP,1959,2012,BORTIANOR/NGLESHIE/AMANFROM,M
FRANK AGYEKUM,PPP,984,2012,BORTIANOR/NGLESHIE/AMANFROM,M
ALIHU NUNOO,NDP,192,2012,BORTIANOR/NGLESHIE/AMANFROM,M
JOHN MAHAMA,NDC,52691,2012,Dade Kotopon,P
HENRY LARTEY,GCPP,66,2012,Dade Kotopon,P
NANA AKUFO-ADDO,NPP,35242,2012,Dade Kotopon,P
PAA KWESI NDUOM,PPP,453,2012,Dade Kotopon,P
AKWASI ADAE,UFP,15,2012,Dade Kotopon,P
HASSAN AYARIGA,PNC,33,2012,Dade Kotopon,P
ABU SAKARA,CPP,139,2012,Dade Kotopon,P
JACOB OSEI YEBOAH,IND,20,2012,Dade Kotopon,P
NII AMASA NAMOALE,NDC,50016,2012,Dade Kotopon,M
OSCAR NII ODOI GLOVER,NPP,34533,2012,Dade Kotopon,M
SIMON SOWAH,PPP,1868,2012,Dade Kotopon,M
TORTO OBODAI NABI ADJAH,CPP,1339,2012,Dade Kotopon,M
ERIC KODI,IND,134,2012,Dade Kotopon,M
JOHN MAHAMA,NDC,37278,2012,DOME KWABENYA,P
HENRY LARTEY,GCPP,88,2012,DOME KWABENYA,P
NANA AKUFO-ADDO,NPP,61534,2012,DOME KWABENYA,P
PAA KWESI NDUOM,PPP,287,2012,DOME KWABENYA,P
AKWASI ADAE,UFP,15,2012,DOME KWABENYA,P
HASSAN AYARIGA,PNC,35,2012,DOME KWABENYA,P
ABU SAKARA,CPP,82,2012,DOME KWABENYA,P
JACOB OSEI YEBOAH,IND,15,2012,DOME KWABENYA,P
SARAH ADJOA SAFO,NPP,63373,2012,DOME KWABENYA,M
SOPHIA KAREN ACKUAKU,NDC,35356,2012,DOME KWABENYA,M
ERNEST KWESI ANYORMI,PPP,312,2012,DOME KWABENYA,M
ABUBAKAR KWASHIE GEGE EBLA,PNC,188,2012,DOME KWABENYA,M
FRANKLIN FRIMPONG-MANSO,IND,107,2012,DOME KWABENYA,M
SAM MIREKU,NDP,66,2012,DOME KWABENYA,M
JOHN MAHAMA,NDC,16431,2012,Domeabra/Obom,P
HENRY LARTEY,GCPP,127,2012,Domeabra/Obom,P
NANA AKUFO-ADDO,NPP,3114,2012,Domeabra/Obom,P
PAA KWESI NDUOM,PPP,104,2012,Domeabra/Obom,P
AKWASI ADAE,UFP,23,2012,Domeabra/Obom,P
HASSAN AYARIGA,PNC,76,2012,Domeabra/Obom,P
ABU SAKARA,CPP,42,2012,Domeabra/Obom,P
JACOB OSEI YEBOAH,IND,232,2012,Domeabra/Obom,P
DAOUD ANUM YEMOH,NDC,10404,2012,Domeabra/Obom,M
ISAAC AWUKU YIBOR,IND,5875,2012,Domeabra/Obom,M
SYLVANUS TETTEY MARTEY,NPP,2666,2012,Domeabra/Obom,M
PAUL COFIE ,IND,1129,2012,Domeabra/Obom,M
MUSHEA NII AKWANOR,NDP,763,2012,Domeabra/Obom,M
KWASI AMOO,PPP,151,2012,Domeabra/Obom,M
JOHN MAHAMA,NDC,"38, 928",2012,Klottey-Korle,P
HENRY LARTEY,GCPP,48,2012,Klottey-Korle,P
NANA AKUFO-ADDO,NPP,44928,2012,Klottey-Korle,P
PAA KWESI NDUOM,PPP,361,2012,Klottey-Korle,P
AKWASI ADAE,UFP,6,2012,Klottey-Korle,P
HASSAN AYARIGA,PNC,29,2012,Klottey-Korle,P
ABU SAKARA,CPP,114,2012,Klottey-Korle,P
JACOB OSEI YEBOAH,IND,8,2012,Klottey-Korle,P
NII ARMAH ASHIETEY,NDC,36122,2012,Klottey-Korle,M
NII ADJEI TAWIAH,NPP,34847,2012,Klottey-Korle,M
LEEFORD KPAKPO QUARSHIE,IND,1354,2012,Klottey-Korle,M
CHRIS BONAPARTE,PPP,1151,2012,Klottey-Korle,M
KABU OKAI-DAVIES,CPP,408,2012,Klottey-Korle,M
GODWIN OPARE-ADDO,IND,327,2012,Klottey-Korle,M
CHARLES NII OUT OKUNOR,NDP,198,2012,Klottey-Korle,M
JOHN MAHAMA,NDC,35557,2012,Kpone-Katamanso,P
HENRY LARTEY,GCPP,47,2012,Kpone-Katamanso,P
NANA AKUFO-ADDO,NPP,23650,2012,Kpone-Katamanso,P
PAA KWESI NDUOM,PPP,194,2012,Kpone-Katamanso,P
AKWASI ADAE,UFP,7,2012,Kpone-Katamanso,P
HASSAN AYARIGA,PNC,33,2012,Kpone-Katamanso,P
ABU SAKARA,CPP,73,2012,Kpone-Katamanso,P
JACOB OSEI YEBOAH,IND,13,2012,Kpone-Katamanso,P
JOSEPH NII LARYEA AFOTEY-AGBO,NDC,33598,2012,Kpone-Katamanso,M
SOLOMON TETTEY APPIAH,NPP,23984,2012,Kpone-Katamanso,M
KLEM KWESI STANLEY,PPP,1107,2012,Kpone-Katamanso,M
JOHN MAHAMA,NDC,35284,2012,KROWOR,P
HENRY LARTEY,GCPP,51,2012,KROWOR,P
NANA AKUFO-ADDO,NPP,30409,2012,KROWOR,P
PAA KWESI NDUOM,PPP,263,2012,KROWOR,P
AKWASI ADAE,UFP,13,2012,KROWOR,P
HASSAN AYARIGA,PNC,34,2012,KROWOR,P
ABU SAKARA,CPP,44,2012,KROWOR,P
JACOB OSEI YEBOAH,IND,12,2012,KROWOR,P
NII OAKLEY QUAYE-KUMAH,NDC,35520,2012,KROWOR,M
JOSEPH AYIKOI OTOO,NPP,29700,2012,KROWOR,M
THEOPHILUS BOYE MENSAH,IND,2259,2012,KROWOR,M
HUGO KOFI HUPPENBAUER,PPP,868,2012,KROWOR,M
KATE QUAYE,CPP,308,2012,KROWOR,M
YAA ASOMDWEE MOEN,NDP,75,2012,KROWOR,M
JOHN MAHAMA,NDC,53710,2012,LEDZOKUKU,P
HENRY LARTEY,GCPP,91,2012,LEDZOKUKU,P
NANA AKUFO-ADDO,NPP,40662,2012,LEDZOKUKU,P
PAA KWESI NDUOM,PPP,392,2012,LEDZOKUKU,P
AKWASI ADAE,UFP,5,2012,LEDZOKUKU,P
HASSAN AYARIGA,PNC,27,2012,LEDZOKUKU,P
