AKWASI ADAE,,UFP,21,2012,ASSIN CENTRAL,,,P
HASSAN AYARIGA,,PNC,22,2012,ASSIN CENTRAL,,,P
ABU SAKARA,,CPP,31,2012,ASSIN CENTRAL,,,P
JACOB OSEI YEBOAH,,IND,14,2012,ASSIN CENTRAL,,,P
KEN OHENE AGYAPONG,,NPP,16347,2012,ASSIN CENTRAL,,,M
ALEX DEWISE ANTWI-BOASIAKO,,NDC,13202,2012,ASSIN CENTRAL,,,M
ROSINA AKUORKOR TEYE,,PPP,272,2012,ASSIN CENTRAL,,,M
PATRICK ADU GYAPONG,,NDP,244,2012,ASSIN CENTRAL,,,M
JOHN MAHAMA,,NDC,5574761,2012,ASSIN NORTH,,,P
HENRY LARTEY,,GCPP,38223,2012,ASSIN NORTH,,,P
NANA AKUFO-ADDO,,NPP,5248898,2012,ASSIN NORTH,,,P
PAA KWESI NDUOM,,PPP,64362,2012,ASSIN NORTH,,,P
AKWASI ADAE,,UFP,8877,2012,ASSIN NORTH,,,P
HASSAN AYARIGA,,PNC,24617,2012,ASSIN NORTH,,,P
ABU SAKARA,,CPP,20323,2012,ASSIN NORTH,,,P
JACOB OSEI YEBOAH,,IND,15201,2012,ASSIN NORTH,,,P
AMBRE SAMUEL,,NDC,14338,2012,ASSIN NORTH,,,M
EBENEZER APPIAH-KUBI,,NPP,12281,2012,ASSIN NORTH,,,M
AKAKPO JOHN GAMELEY,,PPP,884,2012,ASSIN NORTH,,,M
SAMUEL MAHAMA,,CPP,131,2012,ASSIN NORTH,,,M
DANIEL GIBSON GYETUAN,,NDP,129,2012,ASSIN NORTH,,,M
JOHN MAHAMA,,NDC,17059,2012,ASSIN SOUTH,,,P
HENRY LARTEY,,GCPP,238,2012,ASSIN SOUTH,,,P
NANA AKUFO-ADDO,,NPP,21386,2012,ASSIN SOUTH,,,P
PAA KWESI NDUOM,,PPP,521,2012,ASSIN SOUTH,,,P
AKWASI ADAE,,UFP,32,2012,ASSIN SOUTH,,,P
HASSAN AYARIGA,,PNC,44,2012,ASSIN SOUTH,,,P
ABU SAKARA,,CPP,64,2012,ASSIN SOUTH,,,P
JACOB OSEI YEBOAH,,IND,37,2012,ASSIN SOUTH,,,P
DOMINIC KWAKU FOBIH,,NPP,19834,2012,ASSIN SOUTH,,,M
SABINA APPIAH-KUBI,,NDC,17903,2012,ASSIN SOUTH,,,M
STEPHEN KOFI BAIDOO JNR,,PPP,1347,2012,ASSIN SOUTH,,,M
ARHIN PAUL ESSUMANG,,PNC,314,2012,ASSIN SOUTH,,,M
KOFI AFRAN AGYEI,,NDP,109,2012,ASSIN SOUTH,,,M
ABBAM LARTEY SANKOFIE,,CPP,90,2012,ASSIN SOUTH,,,M
JOHN MAHAMA,,NDC,28228,2012,AWUTU SENYA EAST,,,P
HENRY LARTEY,,GCPP,16,2012,AWUTU SENYA EAST,,,P
NANA AKUFO-ADDO,,NPP,30481,2012,AWUTU SENYA EAST,,,P
PAA KWESI NDUOM,,PPP,323,2012,AWUTU SENYA EAST,,,P
AKWASI ADAE,,UFP,27,2012,AWUTU SENYA EAST,,,P
HASSAN AYARIGA,,PNC,30,2012,AWUTU SENYA EAST,,,P
ABU SAKARA,,CPP,29,2012,AWUTU SENYA EAST,,,P
JACOB OSEI YEBOAH,,IND,17,2012,AWUTU SENYA EAST,,,P
MAVIS HAWA KOOMSON,,NPP,31054,2012,AWUTU SENYA EAST,,,M
ADAMS NUHU,,NDC,26884,2012,AWUTU SENYA EAST,,,M
RASHEED ADU-GYAMFI,,PPP,1024,2012,AWUTU SENYA EAST,,,M
MUMUNI IDDISAH,,PNC,124,2012,AWUTU SENYA EAST,,,M
EDWARD KWASI ANTWI,,NDP,64,2012,AWUTU SENYA EAST,,,M
JOHN MAHAMA,,NDC,23509,2012,AWUTU SENYA WEST,,,P
HENRY LARTEY,,GCPP,208,2012,AWUTU SENYA WEST,,,P
NANA AKUFO-ADDO,,NPP,21566,2012,AWUTU SENYA WEST,,,P
PAA KWESI NDUOM,,PPP,654,2012,AWUTU SENYA WEST,,,P
AKWASI ADAE,,UFP,47,2012,AWUTU SENYA WEST,,,P
HASSAN AYARIGA,,PNC,40,2012,AWUTU SENYA WEST,,,P
ABU SAKARA,,CPP,67,2012,AWUTU SENYA WEST,,,P
JACOB OSEI YEBOAH,,IND,42,2012,AWUTU SENYA WEST,,,P
HANNA SERWAA TETTEH,,NDC,23803,2012,AWUTU SENYA WEST,,,M
OPPEY ABBEY,,NPP,18487,2012,AWUTU SENYA WEST,,,M
MOSES ARHINFUL ACQUAH,,PPP,3237,2012,AWUTU SENYA WEST,,,M
EMMANUEL NENYI ABBIW MENSAH,,CPP,1288,2012,AWUTU SENYA WEST,,,M
EMMANNUEL OKANTA ANKRAH,,URP,214,2012,AWUTU SENYA WEST,,,M
JOHN MAHAMA,,NDC,22920,2012,CAPE COAST NORTH,,,P
HENRY LARTEY,,GCPP,99,2012,CAPE COAST NORTH,,,P
NANA AKUFO-ADDO,,NPP,19246,2012,CAPE COAST NORTH,,,P
PAA KWESI NDUOM,,PPP,711,2012,CAPE COAST NORTH,,,P
