JOHN MAHAMA,,,NDC,19609,2012,AHANTA WEST,,P
HENRY LARTEY,,,GCPP,216,2012,AHANTA WEST,,P
NANA AKUFO-ADDO,,,NPP,24655,2012,AHANTA WEST,,P
PAA KWESI NDUOM,,,PPP,874,2012,AHANTA WEST,,P
AKWASI ADAE,,,UFP,51,2012,AHANTA WEST,,P
HASSAN AYARIGA,,,PNC,83,2012,AHANTA WEST,,P
ABU SAKARA,,,CPP,134,2012,AHANTA WEST,,P
JACOB OSEI YEBOAH,,,IND,134,2012,AHANTA WEST,,P
GEORGE KWAME ABOAGYE,,,NPP,21143,2012,AHANTA WEST,,M
SAMUEL JOHN FIAH,,,NDC,20099,2012,AHANTA WEST,,M
DAVID OSCAR YAWSON,,,CPP,4658,2012,AHANTA WEST,,M
ANTHONY ACKAH,,,PPP,320,2012,AHANTA WEST,,M
JOHN MAHAMA,,,NDC,25062,2012,AMENFI EAST,,P
HENRY LARTEY,,,GCPP,169,2012,AMENFI EAST,,P
NANA AKUFO-ADDO,,,NPP,25215,2012,AMENFI EAST,,P
PAA KWESI NDUOM,,,PPP,232,2012,AMENFI EAST,,P
AKWASI ADAE,,,UFP,55,2012,AMENFI EAST,,P
HASSAN AYARIGA,,,PNC,73,2012,AMENFI EAST,,P
ABU SAKARA,,,CPP,42,2012,AMENFI EAST,,P
JACOB OSEI YEBOAH,,,IND,43,2012,AMENFI EAST,,P
AKWASI OPONG-FOSU,,,NDC,26134,2012,AMENFI EAST,,M
JOSEPH BOAHEN AIDOO,,,NPP,24457,2012,AMENFI EAST,,M
ALFRED JEREMIAH OWUSU,,,PPP,401,2012,AMENFI EAST,,M
FRANCIS OBENG,,,NDP,292,2012,AMENFI EAST,,M
GODFREY APPIAH-KUBI,,,PNC,122,2012,AMENFI EAST,,M
JOHN MAHAMA,,,NDC,26777,2012,AMENFI WEST,,P
HENRY LARTEY,,,GCPP,212,2012,AMENFI WEST,,P
NANA AKUFO-ADDO,,,NPP,16184,2012,AMENFI WEST,,P
PAA KWESI NDUOM,,,PPP,244,2012,AMENFI WEST,,P
AKWASI ADAE,,,UFP,30,2012,AMENFI WEST,,P
HASSAN AYARIGA,,,PNC,46,2012,AMENFI WEST,,P
ABU SAKARA,,,CPP,90,2012,AMENFI WEST,,P
JACOB OSEI YEBOAH,,,IND,73,2012,AMENFI WEST,,P
THOMAS CHARLIE BROWN,,,NDC,26435,2012,AMENFI WEST,,M
JOE GHARTEY,,,NPP,16829,2012,AMENFI WEST,,M
JOSEPH CORNELIUS ESSANDOH,,,PPP,320,2012,AMENFI WEST,,M
EBO GRAHAM,,,PNC,77,2012,AMENFI WEST,,M
JOHN MAHAMA,,,NDC,22439,2012,AMENFI CENTRAL,,P
HENRY LARTEY,,,GCPP,177,2012,AMENFI CENTRAL,,P
NANA AKUFO-ADDO,,,NPP,15037,2012,AMENFI CENTRAL,,P
PAA KWESI NDUOM,,,PPP,211,2012,AMENFI CENTRAL,,P
AKWASI ADAE,,,UFP,28,2012,AMENFI CENTRAL,,P
HASSAN AYARIGA,,,PNC,56,2012,AMENFI CENTRAL,,P
ABU SAKARA,,,CPP,64,2012,AMENFI CENTRAL,,P
JACOB OSEI YEBOAH,,,IND,42,2012,AMENFI CENTRAL,,P
GEORGE KOFI ARTHUR,,,NDC,21149,2012,AMENFI CENTRAL,,M
DR. ERIC MAGNUS WILMOT,,,NPP,16871,2012,AMENFI CENTRAL,,M
BENJAMIN ASMAH,,,PPP,555,2012,AMENFI CENTRAL,,M
JOHN MAHAMA,,,NDC,32067,2012,AOWIN,,P
HENRY LARTEY,,,GCPP,212,2012,AOWIN,,P
NANA AKUFO-ADDO,,,NPP,19603,2012,AOWIN,,P
PAA KWESI NDUOM,,,PPP,310,2012,AOWIN,,P
AKWASI ADAE,,,UFP,40,2012,AOWIN,,P
