HASSAN AYARIGA,,,PNC,52,2012,AOWIN,,P
ABU SAKARA,,,CPP,53,2012,AOWIN,,P
JACOB OSEI YEBOAH,,,IND,58,2012,AOWIN,,P
MATHIAS KWAME NTOW,,,NDC,30035,2012,AOWIN,,M
SAMUEL ADU GYAMFI,,,NPP,21030,2012,AOWIN,,M
SOLOMON APPIAH,,,IND,756,2012,AOWIN,,M
ABUDU HAWA,,,PPP,700,2012,AOWIN,,M
JOHN BREW,,,NDP,265,2012,AOWIN,,M
THEOPHILUS NANA BOAHENE,,,IND,207,2012,AOWIN,,M
JOHN MAHAMA,,,NDC,14668,2012,BIA EAST,,P
HENRY LARTEY,,,GCPP,107,2012,BIA EAST,,P
NANA AKUFO-ADDO,,,NPP,5267,2012,BIA EAST,,P
PAA KWESI NDUOM,,,PPP,61,2012,BIA EAST,,P
AKWASI ADAE,,,UFP,20,2012,BIA EAST,,P
HASSAN AYARIGA,,,PNC,29,2012,BIA EAST,,P
ABU SAKARA,,,CPP,26,2012,BIA EAST,,P
JACOB OSEI YEBOAH,,,IND,28,2012,BIA EAST,,P
RICHARD ACHEAMPONG,,,NDC,13497,2012,BIA EAST,,M
DAVID LEO-NKOAH,,,NPP,4935,2012,BIA EAST,,M
FELIX NANOR TETTEH,,,IND,1744,2012,BIA EAST,,M
NKRUMA JOSEPH,,,NDP,154,2012,BIA EAST,,M
EMMANUEL KWADWO OWUSU,,,PPP,134,2012,BIA EAST,,M
JOHN MAHAMA,,,NDC,32927,2012,BIA WEST,,P
HENRY LARTEY,,,GCPP,195,2012,BIA WEST,,P
NANA AKUFO-ADDO,,,NPP,11978,2012,BIA WEST,,P
PAA KWESI NDUOM,,,PPP,126,2012,BIA WEST,,P
AKWASI ADAE,,,UFP,41,2012,BIA WEST,,P
HASSAN AYARIGA,,,PNC,51,2012,BIA WEST,,P
ABU SAKARA,,,CPP,74,2012,BIA WEST,,P
JACOB OSEI YEBOAH,,,IND,50,2012,BIA WEST,,P
MICHAEL COFFIE BOAMPONG,,,NDC,30632,2012,BIA WEST,,M
JOHN KOAH,,,NPP,14257,2012,BIA WEST,,M
ARMAH PHILEMON,,,CPP,601,2012,BIA WEST,,M
KOFI GERSHON,,,PPP,530,2012,BIA WEST,,M
JOHN MAHAMA,,,NDC,30904,2012,BIBIANI/ANHWIASO/BEKWAI,,P
HENRY LARTEY,,,GCPP,186,2012,BIBIANI/ANHWIASO/BEKWAI,,P
NANA AKUFO-ADDO,,,NPP,31916,2012,BIBIANI/ANHWIASO/BEKWAI,,P
PAA KWESI NDUOM,,,PPP,213,2012,BIBIANI/ANHWIASO/BEKWAI,,P
AKWASI ADAE,,,UFP,28,2012,BIBIANI/ANHWIASO/BEKWAI,,P
HASSAN AYARIGA,,,PNC,57,2012,BIBIANI/ANHWIASO/BEKWAI,,P
ABU SAKARA,,,CPP,57,2012,BIBIANI/ANHWIASO/BEKWAI,,P
JACOB OSEI YEBOAH,,,IND,32,2012,BIBIANI/ANHWIASO/BEKWAI,,P
KINGSLEY ABOAGYE-GYEDU,,,NPP,32016,2012,BIBIANI/ANHWIASO/BEKWAI,,M
BRIGHT ASAMOAH BREFO,,,NDC,29940,2012,BIBIANI/ANHWIASO/BEKWAI,,M
ERIC NKRUMAH,,,PPP,731,2012,BIBIANI/ANHWIASO/BEKWAI,,M
NEWLOVE GYASI,,,IND,466,2012,BIBIANI/ANHWIASO/BEKWAI,,M
EVANS ENNIN DICKSON,,,PNC,188,2012,BIBIANI/ANHWIASO/BEKWAI,,M
ANTHONY KWAME GYASI,,,CPP,174,2012,BIBIANI/ANHWIASO/BEKWAI,,M
PRINCE OSEI TUTU,,,NDP,171,2012,BIBIANI/ANHWIASO/BEKWAI,,M
JOHN MAHAMA,,,NDC,18928,2012,BODI,,P
HENRY LARTEY,,,GCPP,123,2012,BODI,,P
NANA AKUFO-ADDO,,,NPP,7112,2012,BODI,,P
PAA KWESI NDUOM,,,PPP,92,2012,BODI,,P
AKWASI ADAE,,,UFP,19,2012,BODI,,P
HASSAN AYARIGA,,,PNC,36,2012,BODI,,P
ABU SAKARA,,,CPP,26,2012,BODI,,P
JACOB OSEI YEBOAH,,,IND,21,2012,BODI,,P
AHI SAMPSON,,,NDC,18586,2012,BODI,,M
EMMANUEL ADDAI,,,NPP,7626,2012,BODI,,M
YEBOAH EVANS,,,PPP,281,2012,BODI,,M
MAHAMA BABA ISHMAEL,,,PNC,168,2012,BODI,,M
JOHN MAHAMA,,,NDC,14794,2012,EFFIA,,P
HENRY LARTEY,,,GCPP,37,2012,EFFIA,,P
NANA AKUFO-ADDO,,,NPP,20385,2012,EFFIA,,P
PAA KWESI NDUOM,,,PPP,378,2012,EFFIA,,P
AKWASI ADAE,,,UFP,7,2012,EFFIA,,P
HASSAN AYARIGA,,,PNC,23,2012,EFFIA,,P
ABU SAKARA,,,CPP,89,2012,EFFIA,,P
JACOB OSEI YEBOAH,,,IND,5,2012,EFFIA,,P
JOSEPH CUDJOE,,,NPP,19863,2012,EFFIA,,M
MOHAMMED BARKWA ALI,,,NDC,14269,2012,EFFIA,,M
THERESA BAFFOWA LARTEY,,,PPP,1208,2012,EFFIA,,M
ALEXANDER PRINCE EGYIR-YAWSON,,,CPP,287,2012,EFFIA,,M
JOHN MAHAMA,,,NDC,26262,2012,ELLEMBELLE,,P
HENRY LARTEY,,,GCPP,116,2012,ELLEMBELLE,,P
NANA AKUFO-ADDO,,,NPP,18317,2012,ELLEMBELLE,,P
PAA KWESI NDUOM,,,PPP,219,2012,ELLEMBELLE,,P
AKWASI ADAE,,,UFP,20,2012,ELLEMBELLE,,P
HASSAN AYARIGA,,,PNC,34,2012,ELLEMBELLE,,P
ABU SAKARA,,,CPP,233,2012,ELLEMBELLE,,P
JACOB OSEI YEBOAH,,,IND,45,2012,ELLEMBELLE,,P
EMMANUEL ARMAH-KOFI,,,NDC,26344,2012,ELLEMBELLE,,M
KWASI BONZOH,,,NPP,18067,2012,ELLEMBELLE,,M
KENNETH ATOBRAH,,,PPP,309,2012,ELLEMBELLE,,M
NANA BULUMIATWUM KWASI,,,CPP,278,2012,ELLEMBELLE,,M
EBENEZER SOMEAH-ADDAE,,,IND,176,2012,ELLEMBELLE,,M
JOSEPH JUSTICE KWAW,,,NDP,30,2012,ELLEMBELLE,,M
JOHN MAHAMA,,,NDC,17598,2012,Essikadu/Ketan,,P
HENRY LARTEY,,,GCPP,82,2012,Essikadu/Ketan,,P
NANA AKUFO-ADDO,,,NPP,23629,2012,Essikadu/Ketan,,P
PAA KWESI NDUOM,,,PPP,428,2012,Essikadu/Ketan,,P
AKWASI ADAE,,,UFP,20,2012,Essikadu/Ketan,,P
HASSAN AYARIGA,,,PNC,25,2012,Essikadu/Ketan,,P
ABU SAKARA,,,CPP,66,2012,Essikadu/Ketan,,P
JACOB OSEI YEBOAH,,,IND,17,2012,Essikadu/Ketan,,P
JOE GHARTEY,,,NPP,24442,2012,Essikadu/Ketan,,M
THOMAS C BROWN,,,NDC,16767,2012,Essikadu/Ketan,,M
JOSEPH CORNELIUS ESSANDOH,,,PPP,762,2012,Essikadu/Ketan,,M
EBO GRAHAM,,,PNC,64,2012,Essikadu/Ketan,,M
JOHN MAHAMA,,,NDC,29392,2012,JOMORO,,P
HENRY LARTEY,,,GCPP,158,2012,JOMORO,,P
NANA AKUFO-ADDO,,,NPP,17978,2012,JOMORO,,P
PAA KWESI NDUOM,,,PPP,700,2012,JOMORO,,P
AKWASI ADAE,,,UFP,31,2012,JOMORO,,P
HASSAN AYARIGA,,,PNC,152,2012,JOMORO,,P
ABU SAKARA,,,CPP,1724,2012,JOMORO,,P
JACOB OSEI YEBOAH,,,IND,99,2012,JOMORO,,P
FRANCIS KABENLAH ANAMAN,,,NDC,21651,2012,JOMORO,,M
SAMIA YABA CHRISTIANA MKRUMAH,,,NPP,18110,2012,JOMORO,,M
JOSEPH EWONIAH,,,PPP,9630,2012,JOMORO,,M
MARGARET BLAY KENYAH,,,CPP,1894,2012,JOMORO,,M
JOHN MAHAMA,,,NDC,26398,2012,Juabeso,,P
HENRY LARTEY,,,GCPP,119,2012,Juabeso,,P
NANA AKUFO-ADDO,,,NPP,11497,2012,Juabeso,,P
PAA KWESI NDUOM,,,PPP,126,2012,Juabeso,,P
AKWASI ADAE,,,UFP,40,2012,Juabeso,,P
HASSAN AYARIGA,,,PNC,51,2012,Juabeso,,P
ABU SAKARA,,,CPP,83,2012,Juabeso,,P
JACOB OSEI YEBOAH,,,IND,202,2012,Juabeso,,P
KWABENYA MINTAH AKANDOH,,,NDC,19432,2012,Juabeso,,M
WILLIAM COFFIE,,,IND,10783,2012,Juabeso,,M
MARTHA KWAYIE MANU,,,NPP,8293,2012,Juabeso,,M
ABDUL - KARIM IBRAIMAH IBRAHIM,,,PNC,255,2012,Juabeso,,M
KHADIJAH AMA NKRUMAH,,,CPP,208,2012,Juabeso,,M
JOHN MAHAMA,,,NDC,7955,2012,MPOHOR,,P
HENRY LARTEY,,,GCPP,72,2012,MPOHOR,,P
NANA AKUFO-ADDO,,,NPP,8437,2012,MPOHOR,,P
PAA KWESI NDUOM,,,PPP,749,2012,MPOHOR,,P
AKWASI ADAE,,,UFP,25,2012,MPOHOR,,P
HASSAN AYARIGA,,,PNC,37,2012,MPOHOR,,P
ABU SAKARA,,,CPP,85,2012,MPOHOR,,P
JACOB OSEI YEBOAH,,,IND,46,2012,MPOHOR,,P
ALEX KOFI AGYEKUM,,,NPP,7114,2012,MPOHOR,,M
ANTHONY BASSAW,,,NDC,6333,2012,MPOHOR,,M
MARY ANKOMAH,,,PPP,4151,2012,MPOHOR,,M
JOHN MAHAMA,,,NDC,40904,2012,PRESTEA HUNI VALLEY,,P
HENRY LARTEY,,,GCPP,220,2012,PRESTEA HUNI VALLEY,,P
NANA AKUFO-ADDO,,,NPP,30175,2012,PRESTEA HUNI VALLEY,,P
PAA KWESI NDUOM,,,PPP,202,2012,PRESTEA HUNI VALLEY,,P
AKWASI ADAE,,,UFP,58,2012,PRESTEA HUNI VALLEY,,P
HASSAN AYARIGA,,,PNC,76,2012,PRESTEA HUNI VALLEY,,P
ABU SAKARA,,,CPP,121,2012,PRESTEA HUNI VALLEY,,P
JACOB OSEI YEBOAH,,,IND,40,2012,PRESTEA HUNI VALLEY,,P
FRANCIS ADU-BLAY KOFFIE,,,NDC,39808,2012,PRESTEA HUNI VALLEY,,M
ANASTASIA WIREDU MENSAH,,,NPP,31209,2012,PRESTEA HUNI VALLEY,,M
ERIC MENSAH,,,PPP,1035,2012,PRESTEA HUNI VALLEY,,M
THEOPHILUS BADU SAMORA BARIMAH,,,CPP,297,2012,PRESTEA HUNI VALLEY,,M
ROBERT ODOOM,,,NDP,92,2012,PRESTEA HUNI VALLEY,,M
JOHN MAHAMA,,,NDC,19947,2012,SEFWI AKONTOMBRA,,P
HENRY LARTEY,,,GCPP,118,2012,SEFWI AKONTOMBRA,,P
NANA AKUFO-ADDO,,,NPP,11473,2012,SEFWI AKONTOMBRA,,P
PAA KWESI NDUOM,,,PPP,142,2012,SEFWI AKONTOMBRA,,P
AKWASI ADAE,,,UFP,25,2012,SEFWI AKONTOMBRA,,P
HASSAN AYARIGA,,,PNC,43,2012,SEFWI AKONTOMBRA,,P
ABU SAKARA,,,CPP,35,2012,SEFWI AKONTOMBRA,,P
JACOB OSEI YEBOAH,,,IND,24,2012,SEFWI AKONTOMBRA,,P
HEROD COBBINA,,,NDC,18926,2012,SEFWI AKONTOMBRA,,M
APPIAH-KUBI BAIDOO,,,NPP,12568,2012,SEFWI AKONTOMBRA,,M
ADAMS KWASI KWARTENG,,,PPP,424,2012,SEFWI AKONTOMBRA,,M
JOSEPH BRIGHT QUAHA,,,CPP,171,2012,SEFWI AKONTOMBRA,,M
JOHN MAHAMA,,,NDC,35806,2012,SEFWI WIAWSO,,P
HENRY LARTEY,,,GCPP,190,2012,SEFWI WIAWSO,,P
NANA AKUFO-ADDO,,,NPP,22629,2012,SEFWI WIAWSO,,P
PAA KWESI NDUOM,,,PPP,180,2012,SEFWI WIAWSO,,P
AKWASI ADAE,,,UFP,28,2012,SEFWI WIAWSO,,P
HASSAN AYARIGA,,,PNC,65,2012,SEFWI WIAWSO,,P
ABU SAKARA,,,CPP,64,2012,SEFWI WIAWSO,,P
JACOB OSEI YEBOAH,,,IND,32,2012,SEFWI WIAWSO,,P
EVANS PAUL AIDOO,,,NDC,31993,2012,SEFWI WIAWSO,,M
KWAKU AFRIYIE,,,NPP,26926,2012,SEFWI WIAWSO,,M
KWABENA MUSAH,,,PPP,350,2012,SEFWI WIAWSO,,M
AMOH NEWTON ADU,,,PNC,136,2012,SEFWI WIAWSO,,M
MATTHEW BENYIN,,,NDP,77,2012,SEFWI WIAWSO,,M
JOHN MAHAMA,,,NDC,12417,2012,SEKONDI,,P
HENRY LARTEY,,,GCPP,25,2012,SEKONDI,,P
NANA AKUFO-ADDO,,,NPP,15884,2012,SEKONDI,,P
PAA KWESI NDUOM,,,PPP,255,2012,SEKONDI,,P
AKWASI ADAE,,,UFP,2,2012,SEKONDI,,P
HASSAN AYARIGA,,,PNC,13,2012,SEKONDI,,P
ABU SAKARA,,,CPP,65,2012,SEKONDI,,P
JACOB OSEI YEBOAH,,,IND,5,2012,SEKONDI,,P
PAPA OWUSU ANKOMAH,,,NPP,14735,2012,SEKONDI,,M
ANTHONY RICHARD CUDJOE,,,NDC,13644,2012,SEKONDI,,M
AHOAH HENRY SOLOR,,,CPP,408,2012,SEKONDI,,M
ARMAH NYAMEKYE,,,IND,0,2012,SEKONDI,,M
JOHN MAHAMA,,,NDC,19767,2012,SHAMA,,P
HENRY LARTEY,,,GCPP,105,2012,SHAMA,,P
NANA AKUFO-ADDO,,,NPP,16972,2012,SHAMA,,P
PAA KWESI NDUOM,,,PPP,672,2012,SHAMA,,P
AKWASI ADAE,,,UFP,33,2012,SHAMA,,P
HASSAN AYARIGA,,,PNC,43,2012,SHAMA,,P
ABU SAKARA,,,CPP,43,2012,SHAMA,,P
JACOB OSEI YEBOAH,,,IND,10,2012,SHAMA,,P
GABRIEL KWADWO ESSILFIE,,,NDC,8406,2012,SHAMA,,M
JOSEPH CANTAMANTO GARBRAH,,,NPP,17154,2012,SHAMA,,M
JOSEPH ESSUMAN,,,PPP,2271,2012,SHAMA,,M
SAMUEL DIAW MANFUL,,,CPP,0,2012,SHAMA,,M
JOHN MAHAMA,,,NDC,10006,2012,SUAMAN,,P
HENRY LARTEY,,,GCPP,48,2012,SUAMAN,,P
NANA AKUFO-ADDO,,,NPP,4825,2012,SUAMAN,,P
PAA KWESI NDUOM,,,PPP,88,2012,SUAMAN,,P
AKWASI ADAE,,,UFP,12,2012,SUAMAN,,P
HASSAN AYARIGA,,,PNC,11,2012,SUAMAN,,P
ABU SAKARA,,,CPP,22,2012,SUAMAN,,P
JACOB OSEI YEBOAH,,,IND,6,2012,SUAMAN,,P
STEPHEN MICHAEL ESSUAH KOFI ACKAH,,,NDC,9588,2012,SUAMAN,,M
PHILIP KWABENA BOAHEN,,,NPP,5464,2012,SUAMAN,,M
ANDREWS BOAFO,,,PPP,172,2012,SUAMAN,,M
JOHN MAHAMA,,,NDC,16232,2012,TAKORADI,,P
HENRY LARTEY,,,GCPP,47,2012,TAKORADI,,P
NANA AKUFO-ADDO,,,NPP,25760,2012,TAKORADI,,P
PAA KWESI NDUOM,,,PPP,393,2012,TAKORADI,,P
AKWASI ADAE,,,UFP,4,2012,TAKORADI,,P
HASSAN AYARIGA,,,PNC,11,2012,TAKORADI,,P
ABU SAKARA,,,CPP,84,2012,TAKORADI,,P
JACOB OSEI YEBOAH,,,IND,13,2012,TAKORADI,,P
KWABENA OKYERE DARKO-MENSAH,,,NPP,25958,2012,TAKORADI,,M
ALFRED EKOW GYAN,,,NDC,15889,2012,TAKORADI,,M
VIVIAN ARTHUR,,,PPP,669,2012,TAKORADI,,M
JOHN MAHAMA,,,NDC,32600,2012,TARKWA NSUAEM,,P
HENRY LARTEY,,,GCPP,165,2012,TARKWA NSUAEM,,P
NANA AKUFO-ADDO,,,NPP,38506,2012,TARKWA NSUAEM,,P
PAA KWESI NDUOM,,,PPP,864,2012,TARKWA NSUAEM,,P
AKWASI ADAE,,,UFP,30,2012,TARKWA NSUAEM,,P
HASSAN AYARIGA,,,PNC,62,2012,TARKWA NSUAEM,,P
ABU SAKARA,,,CPP,141,2012,TARKWA NSUAEM,,P
JACOB OSEI YEBOAH,,,IND,48,2012,TARKWA NSUAEM,,P
GIFTY EUGUNIA KUSI,,,NPP,37816,2012,TARKWA NSUAEM,,M
CHRISTINA KOBINAH,,,NDC,33135,2012,TARKWA NSUAEM,,M
ERIC SEED OF ASIEDU SIMPEI,,,PPP,1972,2012,TARKWA NSUAEM,,M
JOHN MAHAMA,,,NDC,19531,2012,WASSA EAST,,P
HENRY LARTEY,,,GCPP,189,2012,WASSA EAST,,P
NANA AKUFO-ADDO,,,NPP,13102,2012,WASSA EAST,,P
PAA KWESI NDUOM,,,PPP,325,2012,WASSA EAST,,P
AKWASI ADAE,,,UFP,47,2012,WASSA EAST,,P
HASSAN AYARIGA,,,PNC,59,2012,WASSA EAST,,P
ABU SAKARA,,,CPP,54,2012,WASSA EAST,,P
JACOB OSEI YEBOAH,,,IND,56,2012,WASSA EAST,,P
ISAAC ADJEI MENSAH,,,NDC,19242,2012,WASSA EAST,,M
WILSON ARTHUR,,,NPP,13996,2012,WASSA EAST,,M
TWUMASI - ANKRAH MOSES,,,PPP,419,2012,WASSA EAST,,M
JOHN MAHAMA,,,NDC,16202,2012,Evalue-Gwira Ajomoro,,P
HENRY LARTEY,,,GCPP,109,2012,Evalue-Gwira Ajomoro,,P
NANA AKUFO-ADDO,,,NPP,12030,2012,Evalue-Gwira Ajomoro,,P
PAA KWESI NDUOM,,,PPP,139,2012,Evalue-Gwira Ajomoro,,P
AKWASI ADAE,,,UFP,34,2012,Evalue-Gwira Ajomoro,,P
HASSAN AYARIGA,,,PNC,64,2012,Evalue-Gwira Ajomoro,,P
ABU SAKARA,,,CPP,208,2012,Evalue-Gwira Ajomoro,,P
JACOB OSEI YEBOAH,,,IND,51,2012,Evalue-Gwira Ajomoro,,P
KWEKU TANIKYI KESSIE,,,NDC,15359,2012,Evalue-Gwira Ajomoro,,M
CATHERINE ABELEMA AFEKU,,,NPP,13157,2012,Evalue-Gwira Ajomoro,,M
ACKAH QUARM,,,CPP,381,2012,Evalue-Gwira Ajomoro,,M
JOHN KOFI COBBINAH,,,PNC,107,2012,Evalue-Gwira Ajomoro,,M
JOHN MAHAMA,,,NDC,13001,2012,KWESIMINTSIM,,P
HENRY LARTEY,,,GCPP,61,2012,KWESIMINTSIM,,P
NANA AKUFO-ADDO,,,NPP,19951,2012,KWESIMINTSIM,,P
PAA KWESI NDUOM,,,PPP,376,2012,KWESIMINTSIM,,P
AKWASI ADAE,,,UFP,18,2012,KWESIMINTSIM,,P
HASSAN AYARIGA,,,PNC,22,2012,KWESIMINTSIM,,P
ABU SAKARA,,,CPP,74,2012,KWESIMINTSIM,,P
JACOB OSEI YEBOAH,,,IND,26,2012,KWESIMINTSIM,,P
JOE BAIDOE-ANSAH,,,NPP,16179,2012,KWESIMINTSIM,,M
FRANCI KASSIM NATOA TUNYERIPIF APURI,,,NDC,9901,2012,KWESIMINTSIM,,M
NANA ABAKAH ,,,IND,6738,2012,KWESIMINTSIM,,M
MAXWELL OKYERE AHENKORAH,,,PPP,1138,2012,KWESIMINTSIM,,M
